timestamp,open,high,low,close,volume,num_trades,volume_weighted_price,symbol,signal,strategy
2022-12-30 20:59:00+00:00,123.13,123.28,123.04,123.22,38039,295,123.13418,TSLA,hold,MovingAverageStrategy
2022-12-30 20:58:00+00:00,123.03,123.15,123.02,123.135,15350,199,123.082835,TSLA,hold,MovingAverageStrategy
2022-12-30 20:57:00+00:00,123.055,123.07,122.99,123.04,6665,89,123.03084,TSLA,hold,MovingAverageStrategy
2022-12-30 20:56:00+00:00,122.98,123.12,122.98,123.06,7505,99,123.056889,TSLA,hold,MovingAverageStrategy
2022-12-30 20:55:00+00:00,123.06,123.14,123.0,123.005,7335,110,123.043315,TSLA,hold,MovingAverageStrategy
2022-12-30 20:54:00+00:00,123.18,123.18,123.01,123.08,4594,57,123.070173,TSLA,hold,MovingAverageStrategy
2022-12-30 20:53:00+00:00,123.02,123.185,123.02,123.17,6753,50,123.141508,TSLA,hold,MovingAverageStrategy
2022-12-30 20:52:00+00:00,123.03,123.03,122.95,123.01,3097,35,122.995696,TSLA,hold,MovingAverageStrategy
2022-12-30 20:51:00+00:00,123.05,123.07,122.94,122.99,7724,67,122.987212,TSLA,hold,MovingAverageStrategy
2022-12-30 20:50:00+00:00,123.11,123.13,122.96,123.0,6184,83,123.064706,TSLA,hold,MovingAverageStrategy
2022-12-30 20:49:00+00:00,122.91,122.91,122.78,122.88,2274,29,122.85125,TSLA,hold,MovingAverageStrategy
2022-12-30 20:48:00+00:00,122.97,122.97,122.91,122.93,3004,29,122.948477,TSLA,hold,MovingAverageStrategy
2022-12-30 20:47:00+00:00,122.89,122.97,122.89,122.92,3511,29,122.928333,TSLA,hold,MovingAverageStrategy
2022-12-30 20:46:00+00:00,122.91,122.99,122.84,122.9,8408,66,122.901377,TSLA,hold,MovingAverageStrategy
2022-12-30 20:45:00+00:00,122.66,122.98,122.64,122.96,5357,47,122.83127,TSLA,hold,MovingAverageStrategy
2022-12-30 20:44:00+00:00,122.56,122.71,122.52,122.68,2183,31,122.6175,TSLA,hold,MovingAverageStrategy
2022-12-30 20:43:00+00:00,122.455,122.58,122.455,122.58,915,19,122.483849,TSLA,hold,MovingAverageStrategy
2022-12-30 20:42:00+00:00,122.35,122.515,122.35,122.515,1331,17,122.42361,TSLA,hold,MovingAverageStrategy
2022-12-30 20:41:00+00:00,122.38,122.41,122.35,122.41,621,22,122.379,TSLA,hold,MovingAverageStrategy
2022-12-30 20:40:00+00:00,122.37,122.46,122.37,122.44,1027,19,122.4085,TSLA,hold,MovingAverageStrategy
2022-12-30 20:39:00+00:00,122.47,122.52,122.42,122.43,660,9,122.446667,TSLA,hold,MovingAverageStrategy
2022-12-30 20:38:00+00:00,122.495,122.495,122.34,122.4,1692,24,122.406538,TSLA,hold,MovingAverageStrategy
2022-12-30 20:37:00+00:00,122.27,122.405,122.27,122.405,992,12,122.313889,TSLA,hold,MovingAverageStrategy
2022-12-30 20:36:00+00:00,122.31,122.32,122.22,122.26,2252,25,122.24504,TSLA,hold,MovingAverageStrategy
2022-12-30 20:35:00+00:00,122.38,122.44,122.32,122.35,2042,27,122.3815,TSLA,hold,MovingAverageStrategy
2022-12-30 20:34:00+00:00,122.46,122.46,122.36,122.36,2066,33,122.399118,TSLA,hold,MovingAverageStrategy
2022-12-30 20:33:00+00:00,122.5,122.555,122.45,122.45,1662,25,122.502414,TSLA,hold,MovingAverageStrategy
2022-12-30 20:32:00+00:00,122.51,122.6,122.47,122.56,2581,34,122.547591,TSLA,hold,MovingAverageStrategy
2022-12-30 20:31:00+00:00,122.44,122.54,122.4,122.47,2769,34,122.474,TSLA,hold,MovingAverageStrategy
2022-12-30 20:30:00+00:00,122.35,122.55,122.29,122.48,2179,40,122.367696,TSLA,hold,MovingAverageStrategy
2022-12-30 20:29:00+00:00,122.425,122.44,122.355,122.38,777,10,122.388839,TSLA,hold,MovingAverageStrategy
2022-12-30 20:28:00+00:00,122.35,122.47,122.35,122.39,1541,18,122.414144,TSLA,hold,MovingAverageStrategy
2022-12-30 20:27:00+00:00,122.64,122.64,122.44,122.44,1154,16,122.554545,TSLA,hold,MovingAverageStrategy
