timestamp,open,high,low,close,volume,num_trades,volume_weighted_price,symbol,signal,strategy
2022-12-30 20:59:00+00:00,239.76,239.925,239.61,239.79,26736,202,239.777482,MSFT,hold,MovingAverageStrategy
2022-12-30 20:58:00+00:00,239.61,239.76,239.555,239.75,7380,112,239.667394,MSFT,hold,MovingAverageStrategy
2022-12-30 20:57:00+00:00,239.585,239.65,239.44,239.645,6616,122,239.542815,MSFT,hold,MovingAverageStrategy
2022-12-30 20:56:00+00:00,239.49,239.62,239.45,239.605,5032,85,239.528116,MSFT,hold,MovingAverageStrategy
2022-12-30 20:55:00+00:00,239.32,239.5,239.3,239.44,4845,80,239.426578,MSFT,hold,MovingAverageStrategy
2022-12-30 20:54:00+00:00,239.27,239.39,239.14,239.325,5947,45,239.252231,MSFT,hold,MovingAverageStrategy
2022-12-30 20:53:00+00:00,239.23,239.36,239.21,239.21,1745,24,239.267692,MSFT,hold,MovingAverageStrategy
2022-12-30 20:52:00+00:00,239.41,239.45,239.23,239.23,2086,28,239.356389,MSFT,hold,MovingAverageStrategy
2022-12-30 20:51:00+00:00,239.36,239.46,239.28,239.4,1436,19,239.3825,MSFT,hold,MovingAverageStrategy
2022-12-30 20:50:00+00:00,239.48,239.58,239.34,239.35,4448,47,239.449875,MSFT,hold,MovingAverageStrategy
2022-12-30 20:49:00+00:00,239.23,239.35,239.17,239.35,3244,33,239.218276,MSFT,hold,MovingAverageStrategy
2022-12-30 20:48:00+00:00,239.16,239.22,239.1,239.22,1692,19,239.149268,MSFT,hold,MovingAverageStrategy
2022-12-30 20:47:00+00:00,238.99,239.16,238.99,239.14,1100,11,239.072727,MSFT,hold,MovingAverageStrategy
2022-12-30 20:46:00+00:00,238.85,239.0,238.85,238.97,1108,12,238.938182,MSFT,hold,MovingAverageStrategy
2022-12-30 20:45:00+00:00,238.55,238.77,238.55,238.76,2003,25,238.685313,MSFT,hold,MovingAverageStrategy
2022-12-30 20:44:00+00:00,238.675,238.675,238.57,238.57,838,14,238.623333,MSFT,hold,MovingAverageStrategy
2022-12-30 20:43:00+00:00,238.555,238.685,238.53,238.685,705,11,238.585714,MSFT,hold,MovingAverageStrategy
2022-12-30 20:42:00+00:00,238.52,238.65,238.52,238.57,1369,18,238.572129,MSFT,hold,MovingAverageStrategy
