timestamp,open,high,low,close,volume,num_trades,volume_weighted_price,symbol,signal,strategy
2022-12-30 21:00:00+00:00,129.85,129.85,129.85,129.85,100,1,129.85,AAPL,hold,MovingAverageStrategy
2022-12-30 20:59:00+00:00,129.855,129.95,129.79,129.935,57321,316,129.887775,AAPL,hold,MovingAverageStrategy
2022-12-30 20:58:00+00:00,129.79,129.86,129.76,129.86,21952,167,129.83007,AAPL,hold,MovingAverageStrategy
2022-12-30 20:57:00+00:00,129.845,129.855,129.76,129.8,14634,136,129.79855,AAPL,hold,MovingAverageStrategy
2022-12-30 20:56:00+00:00,129.685,129.81,129.685,129.775,15781,111,129.768238,AAPL,hold,MovingAverageStrategy
2022-12-30 20:55:00+00:00,129.82,129.865,129.63,129.685,27459,99,129.785049,AAPL,hold,MovingAverageStrategy
2022-12-30 20:54:00+00:00,129.555,129.81,129.53,129.765,36949,139,129.675313,AAPL,hold,MovingAverageStrategy
2022-12-30 20:53:00+00:00,129.41,129.545,129.4,129.505,9135,66,129.503494,AAPL,hold,MovingAverageStrategy
2022-12-30 20:52:00+00:00,129.63,129.66,129.43,129.43,13175,83,129.535635,AAPL,hold,MovingAverageStrategy
2022-12-30 20:51:00+00:00,129.555,129.615,129.535,129.6,25778,104,129.574151,AAPL,hold,MovingAverageStrategy
2022-12-30 20:50:00+00:00,129.36,129.63,129.36,129.565,14298,119,129.543238,AAPL,hold,MovingAverageStrategy
2022-12-30 20:49:00+00:00,129.295,129.37,129.27,129.365,3812,40,129.330239,AAPL,hold,MovingAverageStrategy
2022-12-30 20:48:00+00:00,129.315,129.315,129.275,129.295,3102,33,129.297482,AAPL,hold,MovingAverageStrategy
2022-12-30 20:47:00+00:00,129.24,129.34,129.24,129.305,3027,35,129.278462,AAPL,hold,MovingAverageStrategy
2022-12-30 20:46:00+00:00,129.165,129.27,129.15,129.23,5639,57,129.220113,AAPL,hold,MovingAverageStrategy
2022-12-30 20:45:00+00:00,129.055,129.225,129.055,129.2,5160,30,129.173251,AAPL,hold,MovingAverageStrategy
2022-12-30 20:44:00+00:00,129.12,129.125,129.045,129.05,2907,22,129.078371,AAPL,hold,MovingAverageStrategy
