timestamp,open_price,high_price,low_price,close_price,volume,num_trades,volume_weighted_price,symbol
2022-05-02 15:00:00+00:00,280.06,280.06,279.7,279.825,15956,60,279.913433,MSFT
2022-05-02 14:59:00+00:00,280.09,280.25,279.82,279.9,5704,42,280.109484,MSFT
2022-05-02 14:58:00+00:00,280.06,280.36,279.96,280.17,4603,39,280.129023,MSFT
2022-05-02 14:57:00+00:00,279.91,280.03,279.66,280.03,8439,39,279.918519,MSFT
2022-05-02 14:56:00+00:00,280.74,280.97,280.34,280.395,10594,46,280.691484,MSFT
2022-05-02 14:55:00+00:00,279.87,280.535,279.87,280.535,4337,19,280.434288,MSFT
2022-05-02 14:54:00+00:00,280.29,280.57,280.22,280.35,1437,25,280.3715,MSFT
2022-05-02 14:53:00+00:00,280.27,280.68,280.27,280.48,1360,26,280.457,MSFT
2022-05-02 14:52:00+00:00,280.78,280.78,280.41,280.41,4004,53,280.563011,MSFT
2022-05-02 14:51:00+00:00,280.725,280.82,280.335,280.48,6597,45,280.716373,MSFT
2022-05-02 14:50:00+00:00,280.91,280.91,280.56,280.775,2754,43,280.712017,MSFT
2022-05-02 14:49:00+00:00,280.89,280.94,280.7,280.81,4099,35,280.886526,MSFT
2022-05-02 14:48:00+00:00,281.03,281.08,280.795,280.935,4069,57,280.922551,MSFT
2022-05-02 14:47:00+00:00,281.26,281.26,280.85,281.01,3554,61,280.96698,MSFT
2022-05-02 14:46:00+00:00,281.33,281.43,281.19,281.335,4669,78,281.304672,MSFT
2022-05-02 14:45:00+00:00,281.08,281.285,280.91,281.285,1964,36,281.182585,MSFT
2022-05-02 14:44:00+00:00,281.735,281.735,281.0,281.14,7800,103,281.362501,MSFT
2022-05-02 14:43:00+00:00,282.12,282.255,281.8,281.8,4706,70,282.049387,MSFT
2022-05-02 14:42:00+00:00,281.71,282.28,281.675,282.23,1625,34,281.953125,MSFT
2022-05-02 14:41:00+00:00,281.67,281.67,281.44,281.44,818,20,281.5975,MSFT
2022-05-02 14:40:00+00:00,281.85,281.85,281.33,281.69,2707,52,281.6325,MSFT
2022-05-02 14:39:00+00:00,281.51,281.84,281.485,281.81,8402,64,281.653399,MSFT
2022-05-02 14:38:00+00:00,281.655,281.745,281.49,281.625,3965,84,281.672888,MSFT
2022-05-02 14:37:00+00:00,281.265,281.72,281.265,281.545,3431,62,281.62005,MSFT
2022-05-02 14:36:00+00:00,281.34,281.455,281.145,281.415,4954,53,281.302238,MSFT
2022-05-02 14:35:00+00:00,282.07,282.09,281.31,281.325,1735,32,281.712917,MSFT
2022-05-02 14:34:00+00:00,282.25,282.25,282.085,282.09,1641,27,282.137087,MSFT
2022-05-02 14:33:00+00:00,281.95,282.235,281.875,282.21,6067,55,282.081904,MSFT
2022-05-02 14:32:00+00:00,281.915,282.035,281.805,281.97,1687,31,281.909728,MSFT
2022-05-02 14:31:00+00:00,281.83,282.34,281.59,281.59,5167,76,282.077675,MSFT
2022-05-02 14:30:00+00:00,281.09,281.7,281.09,281.64,1817,32,281.494166,MSFT
2022-05-02 14:29:00+00:00,280.89,281.22,280.88,281.22,692,15,281.0125,MSFT
2022-05-02 14:28:00+00:00,280.63,281.025,280.56,281.025,4579,48,280.81054,MSFT
2022-05-02 14:27:00+00:00,281.15,281.15,280.59,280.65,5595,50,280.710612,MSFT
2022-05-02 14:26:00+00:00,280.88,281.41,280.79,281.22,3500,60,280.931481,MSFT
2022-05-02 14:25:00+00:00,280.36,280.48,279.95,280.48,2790,33,280.340591,MSFT
2022-05-02 14:24:00+00:00,279.4,280.31,279.4,280.19,7317,55,280.055196,MSFT
2022-05-02 14:23:00+00:00,278.94,279.53,278.94,279.43,1632,30,279.336154,MSFT
2022-05-02 14:22:00+00:00,279.46,279.46,278.85,279.05,1180,20,279.24125,MSFT
2022-05-02 14:21:00+00:00,278.87,279.64,278.8,279.625,2286,34,278.980742,MSFT
2022-05-02 14:20:00+00:00,279.39,279.39,279.03,279.04,867,16,279.174286,MSFT
2022-05-02 14:19:00+00:00,278.96,279.46,278.92,279.46,2110,28,279.075882,MSFT
2022-05-02 14:18:00+00:00,278.12,279.49,278.04,279.21,4357,67,278.536607,MSFT
2022-05-02 14:17:00+00:00,277.625,278.28,277.52,278.15,3383,44,278.0582,MSFT
2022-05-02 14:16:00+00:00,277.67,277.98,277.55,277.55,3177,45,277.713236,MSFT
2022-05-02 14:15:00+00:00,277.28,277.715,277.06,277.715,3622,43,277.190626,MSFT
2022-05-02 14:14:00+00:00,277.58,277.58,277.19,277.22,344,6,277.33,MSFT
2022-05-02 14:13:00+00:00,277.345,277.54,277.17,277.28,3666,65,277.325866,MSFT
2022-05-02 14:12:00+00:00,278.22,278.26,277.335,277.385,7372,68,277.707551,MSFT
2022-05-02 14:11:00+00:00,278.12,278.56,278.05,278.05,6910,68,278.308393,MSFT
2022-05-02 14:10:00+00:00,278.0,278.125,277.91,278.005,5741,75,278.010234,MSFT
2022-05-02 14:09:00+00:00,278.295,278.295,278.12,278.27,1465,29,278.194823,MSFT
2022-05-02 14:08:00+00:00,278.24,278.54,278.165,278.33,5734,101,278.340489,MSFT
2022-05-02 14:07:00+00:00,278.16,278.41,278.08,278.24,2120,49,278.197692,MSFT
2022-05-02 14:06:00+00:00,279.19,279.2,278.25,278.25,1408,34,278.733125,MSFT
2022-05-02 14:05:00+00:00,279.92,280.05,279.645,279.68,5894,86,279.864696,MSFT
2022-05-02 14:04:00+00:00,279.24,280.05,279.21,280.01,1295,25,279.747778,MSFT
2022-05-02 14:03:00+00:00,279.91,280.0,279.33,279.33,1733,34,279.687778,MSFT
2022-05-02 14:02:00+00:00,279.445,279.63,279.11,279.63,5648,110,279.414238,MSFT
2022-05-02 14:01:00+00:00,279.705,279.92,279.275,279.55,12614,245,279.510943,MSFT
2022-05-02 14:00:00+00:00,279.96,279.96,278.95,279.86,4091,94,279.523261,MSFT
2022-05-02 13:59:00+00:00,280.175,280.3,279.9,280.02,1982,37,280.006071,MSFT
2022-05-02 13:58:00+00:00,279.94,280.3,279.87,280.3,1748,35,280.1,MSFT
2022-05-02 13:57:00+00:00,280.19,280.39,279.82,279.9,3792,58,280.142311,MSFT
2022-05-02 13:56:00+00:00,279.08,279.91,279.02,279.89,2004,29,279.498,MSFT
2022-05-02 13:55:00+00:00,278.74,279.13,278.13,279.09,1727,33,278.78,MSFT
2022-05-02 13:54:00+00:00,278.89,278.89,278.58,278.78,2166,42,278.753824,MSFT
2022-05-02 13:53:00+00:00,279.19,279.19,278.37,278.89,3985,42,278.892451,MSFT
2022-05-02 13:52:00+00:00,278.61,279.1,278.35,279.0,2325,59,278.707647,MSFT
2022-05-02 13:51:00+00:00,277.74,278.54,277.74,278.54,2757,75,278.072941,MSFT
2022-05-02 13:50:00+00:00,278.1,278.18,277.61,277.89,1232,20,277.960184,MSFT
2022-05-02 13:49:00+00:00,279.44,279.44,278.02,278.02,2029,38,278.852308,MSFT
2022-05-02 13:48:00+00:00,278.61,279.69,278.47,279.23,2329,38,279.001563,MSFT
2022-05-02 13:47:00+00:00,278.37,278.545,278.03,278.12,2875,39,278.426957,MSFT
2022-05-02 13:46:00+00:00,278.39,278.85,278.23,278.3,2631,36,278.449048,MSFT
2022-05-02 13:45:00+00:00,278.57,278.62,278.19,278.545,2677,49,278.448288,MSFT
2022-05-02 13:44:00+00:00,279.07,279.34,278.76,278.97,3701,69,279.045695,MSFT
2022-05-02 13:43:00+00:00,278.54,279.18,278.5,279.09,4819,65,278.835115,MSFT
2022-05-02 13:42:00+00:00,277.73,278.46,277.51,278.46,6848,101,277.987314,MSFT
2022-05-02 13:41:00+00:00,276.73,277.745,276.73,277.745,4561,67,277.282571,MSFT
2022-05-02 13:40:00+00:00,277.22,277.225,276.64,276.65,1971,44,276.977727,MSFT
2022-05-02 13:39:00+00:00,276.98,277.82,276.98,277.51,3722,75,277.445435,MSFT
