timestamp,open_price,high_price,low_price,close_price,volume,num_trades,volume_weighted_price,symbol
2022-08-31 14:50:00+00:00,159.49,159.725,159.44,159.525,1689,21,159.593571,AAPL
2022-08-31 14:49:00+00:00,159.44,159.59,159.37,159.51,3449,31,159.47668,AAPL
2022-08-31 14:48:00+00:00,159.38,159.455,159.345,159.41,3160,28,159.401709,AAPL
2022-08-31 14:47:00+00:00,159.33,159.33,159.24,159.31,933,18,159.295,AAPL
2022-08-31 14:46:00+00:00,159.4,159.43,159.2,159.23,2156,27,159.303889,AAPL
2022-08-31 14:45:00+00:00,159.485,159.67,159.475,159.535,3922,50,159.555148,AAPL
2022-08-31 14:44:00+00:00,159.38,159.49,159.31,159.49,3142,29,159.40503,AAPL
2022-08-31 14:43:00+00:00,159.28,159.51,159.2,159.365,3104,33,159.3725,AAPL
2022-08-31 14:42:00+00:00,159.03,159.31,159.03,159.26,4849,55,159.219226,AAPL
2022-08-31 14:41:00+00:00,159.04,159.07,158.96,158.97,1594,27,159.009231,AAPL
2022-08-31 14:40:00+00:00,158.97,159.09,158.9,158.98,3301,42,158.978996,AAPL
2022-08-31 14:39:00+00:00,159.115,159.115,158.88,158.88,3255,34,159.020727,AAPL
2022-08-31 14:38:00+00:00,159.32,159.32,159.05,159.13,1766,22,159.168296,AAPL
2022-08-31 14:37:00+00:00,159.35,159.35,159.2,159.2,1523,15,159.288667,AAPL
2022-08-31 14:36:00+00:00,159.34,159.35,159.17,159.33,2809,28,159.269231,AAPL
2022-08-31 14:35:00+00:00,159.135,159.32,159.135,159.32,4154,38,159.272586,AAPL
2022-08-31 14:34:00+00:00,159.04,159.21,159.0,159.13,4110,50,159.118571,AAPL
2022-08-31 14:33:00+00:00,159.1,159.1,158.94,159.045,3900,40,158.984009,AAPL
2022-08-31 14:32:00+00:00,159.225,159.225,159.1,159.1,1057,16,159.154286,AAPL
2022-08-31 14:31:00+00:00,159.18,159.2,159.08,159.1,1439,23,159.138462,AAPL
2022-08-31 14:30:00+00:00,159.17,159.22,159.14,159.14,679,14,159.178,AAPL
2022-08-31 14:29:00+00:00,159.23,159.23,159.0,159.19,2052,33,159.131333,AAPL
2022-08-31 14:28:00+00:00,159.475,159.49,159.13,159.19,5076,59,159.35797,AAPL
2022-08-31 14:27:00+00:00,159.385,159.455,159.33,159.415,7376,69,159.372029,AAPL
2022-08-31 14:26:00+00:00,159.38,159.43,159.27,159.39,2627,36,159.369261,AAPL
2022-08-31 14:25:00+00:00,159.37,159.465,159.18,159.37,6099,66,159.32518,AAPL
2022-08-31 14:24:00+00:00,159.27,159.435,159.24,159.435,6273,63,159.358878,AAPL
2022-08-31 14:23:00+00:00,159.56,159.56,159.22,159.22,5273,59,159.378056,AAPL
2022-08-31 14:22:00+00:00,159.79,159.79,159.65,159.65,1628,26,159.707052,AAPL
2022-08-31 14:21:00+00:00,159.63,159.85,159.63,159.85,3705,40,159.740152,AAPL
2022-08-31 14:20:00+00:00,159.73,159.78,159.57,159.57,2096,27,159.665,AAPL
2022-08-31 14:19:00+00:00,159.535,159.76,159.535,159.69,3535,35,159.665455,AAPL
2022-08-31 14:18:00+00:00,159.685,159.75,159.39,159.39,4079,40,159.67161,AAPL
2022-08-31 14:17:00+00:00,159.715,159.745,159.6,159.74,4253,53,159.678134,AAPL
2022-08-31 14:16:00+00:00,159.65,159.75,159.54,159.75,6698,74,159.635325,AAPL
2022-08-31 14:15:00+00:00,159.895,159.895,159.565,159.75,14228,102,159.683737,AAPL
2022-08-31 14:14:00+00:00,159.92,159.985,159.83,159.96,8929,35,159.911016,AAPL
2022-08-31 14:13:00+00:00,160.075,160.08,159.875,159.89,8177,49,159.972815,AAPL
2022-08-31 14:12:00+00:00,160.21,160.21,159.93,160.06,6779,47,160.018914,AAPL
2022-08-31 14:11:00+00:00,159.69,160.2,159.67,160.2,3925,48,159.958338,AAPL
2022-08-31 14:10:00+00:00,159.445,159.69,159.445,159.675,2902,34,159.568939,AAPL
2022-08-31 14:09:00+00:00,159.53,159.62,159.39,159.47,5332,56,159.485929,AAPL
2022-08-31 14:08:00+00:00,159.835,159.86,159.51,159.55,4589,45,159.68678,AAPL
2022-08-31 14:07:00+00:00,159.64,159.855,159.64,159.85,2722,30,159.7758,AAPL
2022-08-31 14:06:00+00:00,159.85,159.94,159.69,159.85,6025,51,159.814474,AAPL
2022-08-31 14:05:00+00:00,159.67,159.92,159.66,159.87,1926,38,159.826,AAPL
2022-08-31 14:04:00+00:00,159.95,159.95,159.67,159.67,3419,39,159.826169,AAPL
2022-08-31 14:03:00+00:00,160.02,160.02,159.91,159.97,2547,26,159.96,AAPL
2022-08-31 14:02:00+00:00,159.89,160.03,159.88,159.92,3528,45,159.942903,AAPL
2022-08-31 14:01:00+00:00,159.805,160.0,159.805,159.85,6206,61,159.913256,AAPL
2022-08-31 14:00:00+00:00,160.135,160.145,159.79,159.805,11407,120,159.908639,AAPL
2022-08-31 13:59:00+00:00,160.26,160.26,160.03,160.13,4251,45,160.131742,AAPL
2022-08-31 13:58:00+00:00,160.36,160.5,160.29,160.3,2516,27,160.3575,AAPL
2022-08-31 13:57:00+00:00,160.32,160.46,160.25,160.35,2966,35,160.336617,AAPL
2022-08-31 13:56:00+00:00,160.11,160.34,160.07,160.34,3480,46,160.173276,AAPL
2022-08-31 13:55:00+00:00,160.32,160.46,160.27,160.28,3197,42,160.352207,AAPL
2022-08-31 13:54:00+00:00,160.42,160.42,160.25,160.38,2359,39,160.343659,AAPL
2022-08-31 13:53:00+00:00,160.34,160.44,160.22,160.44,4062,55,160.346674,AAPL
2022-08-31 13:52:00+00:00,160.23,160.305,160.105,160.3,8275,59,160.161759,AAPL
2022-08-31 13:51:00+00:00,160.35,160.465,160.22,160.25,3362,40,160.354318,AAPL
2022-08-31 13:50:00+00:00,160.235,160.395,160.17,160.35,4435,55,160.280921,AAPL
2022-08-31 13:49:00+00:00,160.27,160.28,159.97,160.245,15127,63,160.238685,AAPL
2022-08-31 13:48:00+00:00,160.42,160.43,160.255,160.29,6984,85,160.315759,AAPL
2022-08-31 13:47:00+00:00,160.32,160.45,160.27,160.38,10225,107,160.361428,AAPL
2022-08-31 13:46:00+00:00,160.08,160.245,160.05,160.245,11732,75,160.155753,AAPL
2022-08-31 13:45:00+00:00,160.07,160.26,159.99,160.0,6837,87,160.120267,AAPL
2022-08-31 13:44:00+00:00,159.43,160.13,159.4,160.01,5033,55,159.670043,AAPL
2022-08-31 13:43:00+00:00,159.57,159.57,159.45,159.47,3801,42,159.484887,AAPL
2022-08-31 13:42:00+00:00,159.77,159.77,159.41,159.6,2887,40,159.5564,AAPL
2022-08-31 13:41:00+00:00,159.69,159.78,159.56,159.78,5640,63,159.664899,AAPL
2022-08-31 13:40:00+00:00,159.54,159.77,159.5,159.7,15537,105,159.620254,AAPL
2022-08-31 13:39:00+00:00,159.43,159.655,159.4,159.5,4470,35,159.561485,AAPL
2022-08-31 13:38:00+00:00,159.48,159.48,159.32,159.46,4501,49,159.380097,AAPL
2022-08-31 13:37:00+00:00,159.31,159.47,159.3,159.43,5084,50,159.378109,AAPL
2022-08-31 13:36:00+00:00,158.96,159.34,158.96,159.25,4230,46,159.222215,AAPL
2022-08-31 13:35:00+00:00,159.19,159.2,158.9,159.03,10764,77,159.065548,AAPL
2022-08-31 13:34:00+00:00,159.33,159.33,159.15,159.26,13365,46,159.210682,AAPL
2022-08-31 13:33:00+00:00,159.56,159.6,159.16,159.375,10357,72,159.279895,AAPL
2022-08-31 13:32:00+00:00,159.72,159.72,159.53,159.53,2849,34,159.617131,AAPL
2022-08-31 13:31:00+00:00,159.725,159.75,159.58,159.75,10428,60,159.654729,AAPL
2022-08-31 13:30:00+00:00,160.26,160.26,159.65,159.77,20160,202,159.88096,AAPL
2022-08-30 19:59:00+00:00,159.04,159.18,158.91,158.91,24211,234,159.04812,AAPL
2022-08-30 19:58:00+00:00,158.735,159.065,158.735,159.05,18948,175,158.967604,AAPL
2022-08-30 19:57:00+00:00,158.4,158.735,158.38,158.735,17888,184,158.621427,AAPL
2022-08-30 19:56:00+00:00,158.45,158.5,158.395,158.4,16921,154,158.436988,AAPL
2022-08-30 19:55:00+00:00,158.41,158.45,158.365,158.44,6995,89,158.412575,AAPL
2022-08-30 19:54:00+00:00,158.215,158.4,158.205,158.4,7208,78,158.303597,AAPL
2022-08-30 19:53:00+00:00,158.225,158.27,158.16,158.21,10181,122,158.215527,AAPL
2022-08-30 19:52:00+00:00,158.325,158.36,158.195,158.25,12424,123,158.279767,AAPL
2022-08-30 19:51:00+00:00,158.39,158.39,158.27,158.32,10018,110,158.345369,AAPL
2022-08-30 19:50:00+00:00,158.27,158.58,158.27,158.385,7337,83,158.434536,AAPL
2022-08-30 19:49:00+00:00,158.205,158.245,158.13,158.245,9861,61,158.16936,AAPL
2022-08-30 19:48:00+00:00,158.265,158.31,158.155,158.2,7634,100,158.213393,AAPL
2022-08-30 19:47:00+00:00,158.37,158.43,158.27,158.275,6418,77,158.365856,AAPL
2022-08-30 19:46:00+00:00,158.595,158.605,158.365,158.365,7179,75,158.527307,AAPL
2022-08-30 19:45:00+00:00,158.72,158.72,158.585,158.585,7187,72,158.671838,AAPL
2022-08-30 19:44:00+00:00,158.885,158.885,158.7,158.705,4718,70,158.800037,AAPL
2022-08-30 19:43:00+00:00,158.845,158.91,158.835,158.87,3866,46,158.884353,AAPL
2022-08-30 19:42:00+00:00,158.915,159.05,158.85,158.85,4485,53,158.945847,AAPL
2022-08-30 19:41:00+00:00,158.905,159.075,158.88,158.9,8249,85,158.959835,AAPL
2022-08-30 19:40:00+00:00,158.685,159.02,158.68,158.91,5032,70,158.862124,AAPL
2022-08-30 19:39:00+00:00,158.745,158.745,158.675,158.675,3687,39,158.709,AAPL
2022-08-30 19:38:00+00:00,158.765,158.775,158.72,158.755,4361,54,158.754949,AAPL
2022-08-30 19:37:00+00:00,158.65,158.735,158.65,158.735,3945,31,158.689249,AAPL
2022-08-30 19:36:00+00:00,158.675,158.74,158.63,158.66,4561,50,158.699883,AAPL
2022-08-30 19:35:00+00:00,158.645,158.74,158.645,158.7,4894,36,158.704169,AAPL
2022-08-30 19:34:00+00:00,158.47,158.6,158.395,158.595,5785,67,158.479376,AAPL
2022-08-30 19:33:00+00:00,158.65,158.7,158.48,158.48,4156,52,158.613026,AAPL
2022-08-30 19:32:00+00:00,158.66,158.74,158.65,158.665,6378,46,158.67663,AAPL
2022-08-30 19:31:00+00:00,158.615,158.7,158.565,158.675,3547,49,158.641602,AAPL
2022-08-30 19:30:00+00:00,158.89,158.905,158.64,158.64,4981,55,158.78493,AAPL
2022-08-30 19:29:00+00:00,158.885,158.955,158.87,158.88,5829,43,158.923159,AAPL
2022-08-30 19:28:00+00:00,159.0,159.0,158.82,158.86,4549,48,158.883932,AAPL
2022-08-30 19:27:00+00:00,159.09,159.11,159.0,159.005,6433,56,159.041418,AAPL
2022-08-30 19:26:00+00:00,159.02,159.08,158.97,159.08,4500,50,159.02404,AAPL
2022-08-30 19:25:00+00:00,159.165,159.165,159.03,159.03,4183,49,159.087638,AAPL
2022-08-30 19:24:00+00:00,159.02,159.2,158.98,159.2,4022,37,159.043953,AAPL
2022-08-30 19:23:00+00:00,159.015,159.07,159.005,159.01,4285,38,159.041123,AAPL
2022-08-30 19:22:00+00:00,158.85,159.08,158.85,159.08,4879,37,158.97921,AAPL
2022-08-30 19:21:00+00:00,159.075,159.08,158.85,158.85,3446,45,158.957751,AAPL
2022-08-30 19:20:00+00:00,159.11,159.11,159.0,159.03,2339,32,159.049524,AAPL
2022-08-30 19:19:00+00:00,159.005,159.11,159.005,159.07,4591,42,159.07537,AAPL
2022-08-30 19:18:00+00:00,158.975,159.085,158.975,159.0,2308,26,159.014812,AAPL
2022-08-30 19:17:00+00:00,159.045,159.045,158.905,158.94,4579,41,158.946095,AAPL
2022-08-30 19:16:00+00:00,159.055,159.12,159.055,159.055,1626,21,159.092333,AAPL
2022-08-30 19:15:00+00:00,159.19,159.205,159.04,159.04,4403,49,159.1446,AAPL
2022-08-30 19:14:00+00:00,159.165,159.2,159.155,159.18,1871,24,159.181631,AAPL
2022-08-30 19:13:00+00:00,159.18,159.18,159.12,159.16,1853,22,159.156765,AAPL
2022-08-30 19:12:00+00:00,159.37,159.425,159.2,159.21,4627,62,159.317679,AAPL
2022-08-30 19:11:00+00:00,159.24,159.33,159.2,159.33,4053,52,159.254621,AAPL
2022-08-30 19:10:00+00:00,159.17,159.25,159.16,159.22,2698,33,159.203641,AAPL
2022-08-30 19:09:00+00:00,159.045,159.2,158.955,159.18,3516,37,159.07585,AAPL
2022-08-30 19:08:00+00:00,158.935,158.995,158.885,158.99,2397,39,158.952611,AAPL
2022-08-30 19:07:00+00:00,158.87,159.005,158.835,158.925,3925,48,158.901881,AAPL
2022-08-30 19:06:00+00:00,158.845,158.85,158.71,158.825,5341,61,158.776298,AAPL
2022-08-30 19:05:00+00:00,158.85,158.98,158.85,158.875,3336,36,158.895,AAPL
2022-08-30 19:04:00+00:00,158.82,158.84,158.76,158.82,3094,34,158.812606,AAPL
2022-08-30 19:03:00+00:00,158.915,159.0,158.84,158.87,5293,64,158.897179,AAPL
2022-08-30 19:02:00+00:00,158.53,158.97,158.53,158.955,3367,45,158.80735,AAPL
2022-08-30 19:01:00+00:00,158.48,158.515,158.395,158.515,1843,28,158.435356,AAPL
2022-08-30 19:00:00+00:00,158.47,158.47,158.42,158.445,1430,18,158.45,AAPL
2022-08-30 18:59:00+00:00,158.52,158.57,158.41,158.45,1553,29,158.495,AAPL
2022-08-30 18:58:00+00:00,158.34,158.57,158.34,158.55,1684,30,158.499286,AAPL
2022-08-30 18:57:00+00:00,158.21,158.41,158.21,158.34,3249,39,158.307333,AAPL
2022-08-30 18:56:00+00:00,158.295,158.295,158.18,158.2,8029,50,158.280614,AAPL
2022-08-30 18:55:00+00:00,158.315,158.315,158.275,158.28,1222,23,158.29255,AAPL
2022-08-30 18:54:00+00:00,158.29,158.37,158.245,158.37,3607,23,158.301232,AAPL
2022-08-30 18:53:00+00:00,158.415,158.415,158.3,158.3,2895,35,158.33379,AAPL
2022-08-30 18:52:00+00:00,158.435,158.5,158.375,158.405,3921,40,158.450863,AAPL
2022-08-30 18:51:00+00:00,158.46,158.5,158.425,158.425,1663,19,158.460313,AAPL
2022-08-30 18:50:00+00:00,158.375,158.375,158.35,158.35,1497,24,158.367083,AAPL
2022-08-30 18:49:00+00:00,158.335,158.41,158.33,158.38,2072,24,158.365402,AAPL
2022-08-30 18:48:00+00:00,158.395,158.395,158.3,158.3,2908,29,158.353889,AAPL
2022-08-30 18:47:00+00:00,158.36,158.41,158.32,158.395,3190,29,158.369083,AAPL
2022-08-30 18:46:00+00:00,158.31,158.38,158.31,158.34,3408,23,158.329402,AAPL
2022-08-30 18:45:00+00:00,158.325,158.34,158.275,158.31,1603,26,158.32,AAPL
2022-08-30 18:44:00+00:00,158.355,158.38,158.21,158.275,1976,34,158.289064,AAPL
2022-08-30 18:43:00+00:00,158.375,158.38,158.355,158.355,451,13,158.37125,AAPL
2022-08-30 18:42:00+00:00,158.45,158.47,158.365,158.365,1169,22,158.419,AAPL
2022-08-30 18:41:00+00:00,158.475,158.515,158.41,158.45,1290,20,158.46507,AAPL
2022-08-30 18:40:00+00:00,158.66,158.69,158.5,158.5,2189,35,158.62076,AAPL
2022-08-30 18:39:00+00:00,158.635,158.64,158.575,158.64,2393,29,158.604773,AAPL
2022-08-30 18:38:00+00:00,158.545,158.63,158.545,158.63,1143,20,158.591667,AAPL
2022-08-30 18:37:00+00:00,158.53,158.565,158.515,158.555,2646,24,158.536923,AAPL
2022-08-30 18:36:00+00:00,158.53,158.55,158.48,158.51,1810,31,158.527857,AAPL
2022-08-30 18:35:00+00:00,158.67,158.7,158.57,158.57,3133,25,158.684477,AAPL
2022-08-30 18:34:00+00:00,158.69,158.7,158.625,158.655,2472,35,158.658696,AAPL
2022-08-30 18:33:00+00:00,158.625,158.725,158.58,158.71,953,22,158.660625,AAPL
2022-08-30 18:32:00+00:00,158.455,158.65,158.455,158.605,5262,42,158.558072,AAPL
2022-08-30 18:31:00+00:00,158.52,158.52,158.43,158.515,758,16,158.473333,AAPL
2022-08-30 18:30:00+00:00,158.26,158.57,158.26,158.46,2995,37,158.437786,AAPL
2022-08-30 18:29:00+00:00,158.29,158.39,158.29,158.29,3773,43,158.333774,AAPL
2022-08-30 18:28:00+00:00,158.35,158.43,158.3,158.3,2137,31,158.381821,AAPL
2022-08-30 18:27:00+00:00,158.36,158.39,158.21,158.345,3306,51,158.284643,AAPL
2022-08-30 18:26:00+00:00,158.505,158.505,158.4,158.44,2287,37,158.462089,AAPL
2022-08-30 18:25:00+00:00,158.685,158.695,158.505,158.53,3174,38,158.58,AAPL
2022-08-30 18:24:00+00:00,158.67,158.72,158.62,158.66,3957,35,158.673108,AAPL
2022-08-30 18:23:00+00:00,158.555,158.68,158.48,158.68,2953,28,158.586201,AAPL
2022-08-30 18:22:00+00:00,158.62,158.62,158.52,158.545,1956,27,158.55347,AAPL
2022-08-30 18:21:00+00:00,158.51,158.615,158.51,158.61,1368,20,158.573462,AAPL
2022-08-30 18:20:00+00:00,158.59,158.59,158.51,158.515,3712,30,158.577121,AAPL
2022-08-30 18:19:00+00:00,158.635,158.66,158.625,158.65,1128,14,158.63559,AAPL
2022-08-30 18:18:00+00:00,158.575,158.695,158.575,158.645,4004,32,158.617106,AAPL
2022-08-30 18:17:00+00:00,158.64,158.64,158.59,158.595,1339,24,158.615909,AAPL
2022-08-30 18:16:00+00:00,158.66,158.66,158.56,158.58,1952,20,158.585,AAPL
2022-08-30 18:15:00+00:00,158.75,158.76,158.645,158.645,1289,30,158.715556,AAPL
2022-08-30 18:14:00+00:00,158.79,158.79,158.66,158.68,1936,27,158.719311,AAPL
2022-08-30 18:13:00+00:00,158.7,158.81,158.7,158.785,5224,44,158.772385,AAPL
