timestamp,open_price,high_price,low_price,close_price,volume,num_trades,volume_weighted_price,symbol
2022-06-22 17:45:00+00:00,136.31,136.345,136.27,136.33,2375,28,136.320652,AAPL
2022-06-22 17:44:00+00:00,136.24,136.36,136.23,136.36,1746,19,136.3,AAPL
2022-06-22 17:43:00+00:00,136.22,136.23,136.21,136.21,1259,19,136.2195,AAPL
2022-06-22 17:42:00+00:00,136.195,136.215,136.18,136.2,1588,23,136.202593,AAPL
2022-06-22 17:41:00+00:00,136.265,136.265,136.19,136.2,1112,19,136.220625,AAPL
2022-06-22 17:40:00+00:00,136.305,136.305,136.22,136.27,2507,35,136.253595,AAPL
2022-06-22 17:39:00+00:00,136.26,136.34,136.26,136.315,1878,19,136.313056,AAPL
2022-06-22 17:38:00+00:00,136.23,136.26,136.195,136.26,1534,19,136.245,AAPL
2022-06-22 17:37:00+00:00,136.15,136.185,136.15,136.185,1188,13,136.175455,AAPL
2022-06-22 17:36:00+00:00,136.19,136.2,136.15,136.16,833,10,136.176875,AAPL
2022-06-22 17:35:00+00:00,136.15,136.185,136.09,136.17,2280,24,136.146667,AAPL
2022-06-22 17:34:00+00:00,136.235,136.25,136.21,136.21,823,17,136.240714,AAPL
2022-06-22 17:33:00+00:00,136.21,136.24,136.21,136.24,650,19,136.216,AAPL
2022-06-22 17:32:00+00:00,136.29,136.32,136.275,136.275,1215,25,136.29,AAPL
2022-06-22 17:31:00+00:00,136.29,136.33,136.28,136.3,2266,28,136.300476,AAPL
2022-06-22 17:30:00+00:00,136.37,136.39,136.32,136.32,2246,25,136.36,AAPL
2022-06-22 17:29:00+00:00,136.32,136.37,136.32,136.37,1442,17,136.338571,AAPL
2022-06-22 17:28:00+00:00,136.32,136.34,136.24,136.34,1567,27,136.276476,AAPL
2022-06-22 17:27:00+00:00,136.36,136.385,136.28,136.28,4201,55,136.342267,AAPL
2022-06-22 17:26:00+00:00,136.35,136.39,136.305,136.39,2965,56,136.337558,AAPL
2022-06-22 17:25:00+00:00,136.375,136.375,136.355,136.365,1151,29,136.365,AAPL
2022-06-22 17:24:00+00:00,136.31,136.36,136.31,136.36,1246,17,136.330909,AAPL
2022-06-22 17:23:00+00:00,136.4,136.4,136.38,136.395,1032,21,136.393096,AAPL
2022-06-22 17:22:00+00:00,136.4,136.4,136.35,136.36,1139,23,136.371,AAPL
2022-06-22 17:21:00+00:00,136.27,136.4,136.27,136.39,5485,55,136.3587,AAPL
2022-06-22 17:20:00+00:00,136.29,136.29,136.25,136.28,1202,16,136.282214,AAPL
2022-06-22 17:19:00+00:00,136.26,136.3,136.26,136.3,1094,17,136.275,AAPL
2022-06-22 17:18:00+00:00,136.2,136.24,136.2,136.24,1381,14,136.22,AAPL
2022-06-22 17:17:00+00:00,136.1,136.17,136.1,136.15,2507,33,136.134581,AAPL
2022-06-22 17:16:00+00:00,135.995,136.06,135.985,136.055,2878,30,136.024276,AAPL
2022-06-22 17:15:00+00:00,136.03,136.03,135.985,135.995,2458,22,136.006567,AAPL
2022-06-22 17:14:00+00:00,135.96,136.025,135.96,136.025,1175,19,135.979444,AAPL
2022-06-22 17:13:00+00:00,135.925,136.01,135.88,136.01,2293,24,135.948571,AAPL
2022-06-22 17:12:00+00:00,136.05,136.05,135.94,135.94,2142,22,136.014646,AAPL
2022-06-22 17:11:00+00:00,135.98,136.05,135.98,136.05,1985,23,136.007368,AAPL
2022-06-22 17:10:00+00:00,135.92,136.01,135.92,135.97,1903,22,135.970868,AAPL
2022-06-22 17:09:00+00:00,135.885,135.92,135.88,135.92,437,13,135.895,AAPL
2022-06-22 17:08:00+00:00,135.86,135.87,135.82,135.82,715,15,135.8525,AAPL
2022-06-22 17:07:00+00:00,135.9,135.94,135.865,135.875,1488,23,135.909486,AAPL
2022-06-22 17:06:00+00:00,135.815,135.875,135.815,135.875,815,13,135.866429,AAPL
2022-06-22 17:05:00+00:00,135.77,135.82,135.77,135.82,724,12,135.793492,AAPL
2022-06-22 17:04:00+00:00,135.75,135.795,135.75,135.795,1010,10,135.75875,AAPL
2022-06-22 17:03:00+00:00,135.66,135.8,135.66,135.8,1125,11,135.761977,AAPL
2022-06-22 17:02:00+00:00,135.89,135.89,135.69,135.69,1188,14,135.834091,AAPL
2022-06-22 17:01:00+00:00,135.835,135.88,135.78,135.88,1685,18,135.810357,AAPL
2022-06-22 17:00:00+00:00,136.05,136.09,135.86,135.86,2643,29,136.006594,AAPL
2022-06-22 16:59:00+00:00,135.86,136.07,135.855,136.05,2932,28,135.945075,AAPL
2022-06-22 16:58:00+00:00,135.79,135.86,135.79,135.84,1454,20,135.822222,AAPL
2022-06-22 16:57:00+00:00,135.81,135.865,135.8,135.825,3122,31,135.82748,AAPL
2022-06-22 16:56:00+00:00,135.73,135.785,135.72,135.785,776,14,135.745833,AAPL
2022-06-22 16:55:00+00:00,135.74,135.81,135.67,135.75,1893,20,135.741682,AAPL
2022-06-22 16:54:00+00:00,135.7,135.75,135.7,135.74,800,8,135.733125,AAPL
2022-06-22 16:53:00+00:00,135.66,135.695,135.66,135.69,314,7,135.681667,AAPL
2022-06-22 16:52:00+00:00,135.64,135.74,135.63,135.67,1801,19,135.662333,AAPL
2022-06-22 16:51:00+00:00,135.55,135.65,135.55,135.65,1246,13,135.597,AAPL
2022-06-22 16:50:00+00:00,135.705,135.74,135.56,135.56,2630,25,135.678913,AAPL
2022-06-22 16:49:00+00:00,135.65,135.68,135.605,135.67,2810,28,135.644748,AAPL
2022-06-22 16:48:00+00:00,135.71,135.73,135.63,135.64,1634,24,135.695282,AAPL
2022-06-22 16:47:00+00:00,135.745,135.775,135.74,135.75,1941,26,135.75466,AAPL
2022-06-22 16:46:00+00:00,135.75,135.775,135.74,135.75,2103,20,135.753906,AAPL
2022-06-22 16:45:00+00:00,135.83,135.91,135.82,135.82,1856,19,135.858438,AAPL
2022-06-22 16:44:00+00:00,135.84,135.84,135.805,135.82,870,12,135.822143,AAPL
2022-06-22 16:43:00+00:00,135.73,135.78,135.73,135.78,3286,35,135.759207,AAPL
2022-06-22 16:42:00+00:00,135.805,135.805,135.69,135.72,857,15,135.745,AAPL
2022-06-22 16:41:00+00:00,135.72,135.82,135.72,135.78,2348,22,135.764773,AAPL
2022-06-22 16:40:00+00:00,135.7,135.73,135.67,135.7,6672,35,135.693711,AAPL
2022-06-22 16:39:00+00:00,135.7,135.7,135.64,135.64,1460,12,135.665,AAPL
2022-06-22 16:38:00+00:00,135.74,135.74,135.69,135.7,859,11,135.717143,AAPL
2022-06-22 16:37:00+00:00,135.86,135.89,135.86,135.86,1532,16,135.86581,AAPL
2022-06-22 16:36:00+00:00,136.03,136.04,135.81,135.82,2446,28,135.882328,AAPL
2022-06-22 16:35:00+00:00,135.94,135.98,135.94,135.98,769,25,135.96125,AAPL
2022-06-22 16:34:00+00:00,135.94,136.03,135.92,135.96,3159,32,135.957844,AAPL
2022-06-22 16:33:00+00:00,135.805,135.93,135.805,135.93,2227,41,135.865526,AAPL
2022-06-22 16:32:00+00:00,135.755,135.8,135.755,135.8,878,15,135.784286,AAPL
2022-06-22 16:31:00+00:00,135.665,135.74,135.665,135.73,1388,25,135.711364,AAPL
2022-06-22 16:30:00+00:00,135.67,135.755,135.64,135.69,1061,17,135.696111,AAPL
2022-06-22 16:29:00+00:00,135.8,135.82,135.64,135.64,1771,29,135.755714,AAPL
2022-06-22 16:28:00+00:00,135.7,135.84,135.7,135.75,3279,34,135.765,AAPL
2022-06-22 16:27:00+00:00,135.61,135.725,135.61,135.625,3168,47,135.657982,AAPL
2022-06-22 16:26:00+00:00,135.71,135.75,135.62,135.62,2479,45,135.704705,AAPL
2022-06-22 16:25:00+00:00,135.6,135.7,135.6,135.7,2118,36,135.674801,AAPL
2022-06-22 16:24:00+00:00,135.72,135.72,135.645,135.655,775,21,135.668333,AAPL
