timestamp,open_price,high_price,low_price,close_price,volume,num_trades,volume_weighted_price,symbol
2022-11-17 19:28:00+00:00,156.835,156.86,156.74,156.8,2564,27,156.776446,NVDA
2022-11-17 19:27:00+00:00,156.59,156.85,156.585,156.78,2791,30,156.656916,NVDA
2022-11-17 19:26:00+00:00,156.68,156.7,156.67,156.7,738,13,156.683333,NVDA
2022-11-17 19:25:00+00:00,156.69,156.69,156.59,156.65,1052,21,156.650192,NVDA
2022-11-17 19:24:00+00:00,156.69,156.79,156.64,156.69,3500,34,156.69488,NVDA
2022-11-17 19:23:00+00:00,156.39,156.67,156.34,156.67,3131,37,156.438564,NVDA
2022-11-17 19:22:00+00:00,156.34,156.4,156.34,156.4,3094,28,156.3592,NVDA
2022-11-17 19:21:00+00:00,156.365,156.4,156.27,156.315,4007,45,156.342395,NVDA
2022-11-17 19:20:00+00:00,156.67,156.71,156.37,156.375,1359,20,156.53588,NVDA
2022-11-17 19:19:00+00:00,156.41,156.71,156.31,156.69,4273,44,156.503559,NVDA
2022-11-17 19:18:00+00:00,156.57,156.57,156.34,156.36,3155,45,156.446066,NVDA
2022-11-17 19:17:00+00:00,156.52,156.59,156.44,156.56,3260,42,156.535179,NVDA
2022-11-17 19:16:00+00:00,156.64,156.67,156.495,156.51,2852,29,156.613714,NVDA
2022-11-17 19:15:00+00:00,156.79,156.89,156.64,156.64,2321,25,156.770825,NVDA
2022-11-17 19:14:00+00:00,156.87,156.94,156.71,156.76,1588,20,156.833462,NVDA
2022-11-17 19:13:00+00:00,156.72,156.95,156.7,156.89,3201,36,156.815692,NVDA
2022-11-17 19:12:00+00:00,156.73,156.82,156.59,156.71,1430,22,156.677347,NVDA
2022-11-17 19:11:00+00:00,156.78,157.0,156.71,156.71,2582,33,156.844091,NVDA
2022-11-17 19:10:00+00:00,156.77,156.88,156.75,156.75,2903,37,156.799048,NVDA
2022-11-17 19:09:00+00:00,156.88,156.88,156.76,156.8,1565,21,156.814504,NVDA
2022-11-17 19:08:00+00:00,157.01,157.06,156.87,156.87,1623,21,156.958575,NVDA
2022-11-17 19:07:00+00:00,157.43,157.43,156.95,156.98,2625,31,157.099545,NVDA
2022-11-17 19:06:00+00:00,157.52,157.56,157.39,157.43,1121,17,157.4825,NVDA
2022-11-17 19:05:00+00:00,157.67,157.67,157.51,157.52,1148,20,157.564444,NVDA
2022-11-17 19:04:00+00:00,157.86,157.86,157.75,157.75,1616,25,157.796219,NVDA
2022-11-17 19:03:00+00:00,157.78,158.03,157.78,157.98,2284,34,157.952222,NVDA
2022-11-17 19:02:00+00:00,157.81,157.89,157.76,157.775,2028,34,157.81625,NVDA
2022-11-17 19:01:00+00:00,157.795,157.835,157.74,157.8,831,19,157.796,NVDA
2022-11-17 19:00:00+00:00,157.77,157.92,157.7,157.82,1776,21,157.818531,NVDA
2022-11-17 18:59:00+00:00,157.77,157.865,157.74,157.755,1880,33,157.776712,NVDA
2022-11-17 18:58:00+00:00,157.69,157.84,157.69,157.84,2047,26,157.733889,NVDA
2022-11-17 18:57:00+00:00,157.5,157.67,157.45,157.67,1823,27,157.571765,NVDA
2022-11-17 18:56:00+00:00,157.52,157.53,157.36,157.5,1135,15,157.445,NVDA
2022-11-17 18:55:00+00:00,157.345,157.51,157.345,157.51,1689,20,157.433333,NVDA
2022-11-17 18:54:00+00:00,157.23,157.38,157.23,157.31,2020,23,157.325311,NVDA
2022-11-17 18:53:00+00:00,157.15,157.29,157.11,157.23,2543,36,157.212619,NVDA
2022-11-17 18:52:00+00:00,157.225,157.325,157.05,157.13,3260,36,157.197188,NVDA
2022-11-17 18:51:00+00:00,157.38,157.45,157.18,157.21,2370,36,157.368458,NVDA
2022-11-17 18:50:00+00:00,157.46,157.52,157.28,157.42,2679,31,157.427463,NVDA
2022-11-17 18:49:00+00:00,157.62,157.62,157.41,157.41,2208,33,157.506,NVDA
2022-11-17 18:48:00+00:00,157.84,157.84,157.72,157.72,425,12,157.776667,NVDA
2022-11-17 18:47:00+00:00,157.83,157.88,157.8,157.83,1499,22,157.835833,NVDA
2022-11-17 18:46:00+00:00,157.83,157.93,157.81,157.84,2744,19,157.842547,NVDA
2022-11-17 18:45:00+00:00,157.84,157.85,157.68,157.77,3156,44,157.787459,NVDA
2022-11-17 18:44:00+00:00,157.925,157.96,157.8,157.82,3684,29,157.894504,NVDA
2022-11-17 18:43:00+00:00,157.85,158.015,157.85,157.9,2181,22,157.974011,NVDA
2022-11-17 18:42:00+00:00,158.025,158.025,157.89,157.89,807,24,157.925,NVDA
2022-11-17 18:41:00+00:00,158.28,158.31,158.23,158.31,814,14,158.272857,NVDA
2022-11-17 18:40:00+00:00,158.35,158.37,158.23,158.29,2466,41,158.337027,NVDA
2022-11-17 18:39:00+00:00,158.365,158.375,158.31,158.345,1433,16,158.353318,NVDA
2022-11-17 18:38:00+00:00,158.24,158.41,158.24,158.365,4063,18,158.366125,NVDA
2022-11-17 18:37:00+00:00,158.45,158.46,158.28,158.28,641,13,158.388,NVDA
2022-11-17 18:36:00+00:00,158.14,158.425,158.14,158.425,1049,14,158.304127,NVDA
2022-11-17 18:35:00+00:00,158.27,158.35,158.25,158.31,1614,25,158.314231,NVDA
2022-11-17 18:34:00+00:00,158.23,158.35,158.22,158.35,2947,36,158.254479,NVDA
2022-11-17 18:33:00+00:00,158.335,158.355,158.18,158.2,8060,44,158.245882,NVDA
2022-11-17 18:32:00+00:00,158.27,158.32,158.265,158.285,2150,23,158.283684,NVDA
2022-11-17 18:31:00+00:00,158.35,158.35,158.25,158.25,2943,29,158.304615,NVDA
2022-11-17 18:30:00+00:00,158.425,158.515,158.31,158.42,1083,13,158.399376,NVDA
2022-11-17 18:29:00+00:00,158.57,158.57,158.45,158.45,958,21,158.5325,NVDA
2022-11-17 18:28:00+00:00,158.59,158.62,158.56,158.58,1250,23,158.581165,NVDA
2022-11-17 18:27:00+00:00,158.33,158.62,158.33,158.62,841,11,158.496429,NVDA
2022-11-17 18:26:00+00:00,158.62,158.69,158.32,158.32,6779,92,158.546665,NVDA
2022-11-17 18:25:00+00:00,159.03,159.06,158.65,158.65,3327,39,158.787143,NVDA
2022-11-17 18:24:00+00:00,159.15,159.15,159.03,159.03,847,13,159.093333,NVDA
2022-11-17 18:23:00+00:00,158.93,159.1,158.93,159.1,2232,29,159.036765,NVDA
2022-11-17 18:22:00+00:00,158.76,158.91,158.76,158.9,965,13,158.838571,NVDA
2022-11-17 18:21:00+00:00,159.23,159.23,158.86,158.86,1705,39,159.066506,NVDA
2022-11-17 18:20:00+00:00,158.87,159.18,158.84,159.18,820,10,158.98125,NVDA
2022-11-17 18:19:00+00:00,158.86,159.035,158.86,159.035,1618,15,158.966457,NVDA
2022-11-17 18:18:00+00:00,158.61,158.84,158.59,158.79,3076,40,158.760354,NVDA
2022-11-17 18:17:00+00:00,158.89,158.97,158.65,158.67,2661,49,158.819,NVDA
2022-11-17 18:16:00+00:00,158.93,158.96,158.68,158.69,3105,35,158.773749,NVDA
2022-11-17 18:15:00+00:00,158.55,158.81,158.55,158.78,1102,18,158.65875,NVDA
2022-11-17 18:14:00+00:00,158.56,158.63,158.47,158.63,819,14,158.558571,NVDA
2022-11-17 18:13:00+00:00,158.73,158.785,158.6,158.6,1914,30,158.748846,NVDA
2022-11-17 18:12:00+00:00,158.67,158.9,158.67,158.755,1678,22,158.819871,NVDA
2022-11-17 18:11:00+00:00,158.82,158.94,158.69,158.74,983,17,158.801429,NVDA
2022-11-17 18:10:00+00:00,158.48,158.8,158.46,158.8,2802,48,158.538235,NVDA
2022-11-17 18:09:00+00:00,158.53,158.66,158.515,158.515,3510,46,158.59692,NVDA
2022-11-17 18:08:00+00:00,158.71,158.71,158.56,158.56,1575,23,158.597,NVDA
2022-11-17 18:07:00+00:00,159.23,159.295,158.6,158.62,2799,28,159.124641,NVDA
2022-11-17 18:06:00+00:00,158.92,159.29,158.89,159.22,2575,25,159.098043,NVDA
2022-11-17 18:05:00+00:00,159.01,159.01,158.86,158.91,2388,40,158.911053,NVDA
2022-11-17 18:04:00+00:00,159.28,159.28,159.0,159.0,4036,45,159.134189,NVDA
2022-11-17 18:03:00+00:00,159.59,159.59,159.22,159.27,1666,29,159.351382,NVDA
2022-11-17 18:02:00+00:00,159.72,159.73,159.52,159.53,1057,13,159.622222,NVDA
2022-11-17 18:01:00+00:00,159.65,159.76,159.555,159.75,4557,56,159.686914,NVDA
2022-11-17 18:00:00+00:00,159.475,159.66,159.46,159.65,2410,38,159.591619,NVDA
2022-11-17 17:59:00+00:00,159.34,159.7,159.34,159.485,3732,51,159.517115,NVDA
2022-11-17 17:58:00+00:00,159.27,159.325,159.21,159.315,1263,18,159.273904,NVDA
2022-11-17 17:57:00+00:00,159.19,159.35,159.19,159.28,2339,26,159.30423,NVDA
2022-11-17 17:56:00+00:00,159.38,159.42,159.19,159.23,2361,18,159.361591,NVDA
2022-11-17 17:55:00+00:00,159.24,159.38,159.205,159.285,2018,29,159.309157,NVDA
2022-11-17 17:54:00+00:00,159.24,159.27,159.125,159.27,1692,23,159.171,NVDA
2022-11-17 17:53:00+00:00,159.25,159.26,159.21,159.26,997,11,159.237222,NVDA
2022-11-17 17:52:00+00:00,159.035,159.29,158.95,159.27,3206,43,159.167708,NVDA
2022-11-17 17:51:00+00:00,159.05,159.17,159.05,159.14,1157,12,159.114545,NVDA
2022-11-17 17:50:00+00:00,158.76,159.08,158.75,158.94,7038,85,158.978064,NVDA
2022-11-17 17:49:00+00:00,158.46,158.73,158.46,158.73,1751,26,158.591111,NVDA
2022-11-17 17:48:00+00:00,158.2,158.33,158.2,158.28,2259,30,158.257,NVDA
2022-11-17 17:47:00+00:00,158.21,158.21,158.21,158.21,200,3,158.21,NVDA
2022-11-17 17:46:00+00:00,158.1,158.2,158.09,158.19,1237,20,158.1355,NVDA
2022-11-17 17:45:00+00:00,158.035,158.105,157.98,158.105,1852,24,158.013438,NVDA
